ENL	ESL	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5
1		Opposites Attract	15	846	3	3	3	3	3
2		Low crime doesn't mean no crime	12	835	3	3	2	2	2
3		Hot Gay Time Machine	12	828	3	3	2	1	3
4		LSE A(gain)	12	807	2	1	3	3	3
5		Katherines' Angels	11	828	2	3	2	3	1
6		Women of Cambridge A's Past	11	817	2	3	3	0	3
7		?? Cans In OG	11	810	3	1	2	3	2
8		SSDC NAMDA Emigres A	11	808	2	2	3	1	3
9		Haram Memes for Non-Hijab-Wearing Teens	10	828	3	3	0	1	3
10		Auckland A	10	823	3	2	3	2	0
11		Old-fashioned Call Out	10	822	3	1	3	2	1
12		you vs the fresher they told you not to worry about	10	819	3	2	0	3	2
13		We Have 99 Accents and RP isn't one of them	10	814	2	3	1	1	3
14		Oxford Asian Persuasion	10	806	1	3	2	3	1
15		Beautiful Heterosexual Couple	10	803	3	0	3	2	2
16	1	Балтия наша	10	790	2	2	2	2	2
17		[Name redacted by Shitposting Admins]	9	815	3	2	1	2	1
18		EUDC's briefest semi-finalists	9	802	2	2	1	1	3
18		The Adventures of Tim Tim	9	802	1	2	3	3	0
20		Third Time Lucky	9	794	3	1	2	0	3
21		Darth Vader 4 EUDC Convenor	9	789	3	1	1	3	1
22		This is our last tournament	9	788	2	1	2	2	2
23		Oodles of noodles	9	767	3	0	1	3	2
24		Judy's leg	9	750	0	2	3	1	3
25		We can make Chennai jokes	8	808	2	3	3	0	0
26		Gender Quotas? Oh shit	8	803	3	3	1	1	0
27		Peaked at reg downhill from there	8	790	1	3	3	0	1
28	2	Trickle out economy	8	783	3	0	0	3	2
29		Richard's idea of a valentines date	8	780	1	3	1	0	3
30		Policy Exchange A	8	779	2	1	1	2	2
30		Oxford LS	8	779	3	0	1	1	3
32	3	Maastricht A	8	768	1	3	0	2	2
33		2 long boiiizz	8	760	0	1	3	3	1
34		Need to get a life	7	792	3	2	0	2	0
35		ESL Open	7	782	2	2	0	3	0
35		We're here for your jobs	7	782	1	1	0	3	2
37		No need to give high speaks, we're still undergraduates	7	775	2	2	0	0	3
38		What would Kallina do	7	770	2	0	0	3	2
39		Deam Team and the Appreciation of Memes Society	7	767	1	2	1	2	1
40	4	Öresund A	7	766	2	1	3	0	1
40	4	Warwick RL	7	766	1	0	2	1	3
42		The Team From CG	7	755	1	0	3	1	2
43		More or less Raluca Vacaru	7	753	0	3	2	2	0
44		The Team From CO	7	748	0	1	1	2	3
44		The Team From OG	7	748	1	1	3	1	1
46	6	Lumina A	6	763	1	1	1	3	0
47		Denver WB	6	761	0	3	0	3	0
48		Jonny Heywood Fan Club A	6	760	1	1	2	0	2
49	7	Stahlhof	6	756	1	2	2	0	1
50		White Noise	6	755	2	0	1	0	3
51	8	UtrechtJE	6	747	0	2	1	1	2
52		Two Sweet African Boys	6	745	0	3	0	2	1
53		The Sunken Place	5	758	1	0	1	2	1
54		QM Team TM	5	744	0	2	2	1	0
54		The Only Way is Essex	5	744	0	0	2	1	2
56		Denver NO	5	733	1	1	3	0	0
57		The Team From OO	5	726	0	0	3	1	1
58		Sophistry	5	705	0	1	0	1	3
59		Oxford DS	5	606		3	0	2	0
60		UWU A	4	752	0	2	2	0	0
61	9	Last Night I Dreamt of San Pedro	4	739	2	0	2	0	0
62	10	FinnCzech Intellectuals	4	730	0	1	0	3	0
63		QM Team AS	4	729	1	0	0	2	1
64	11	QM Team FC	3	717	2	0	1	0	0
65		Middlesex B	3	708	0	0	1	1	1
66		Covfefe	3	697	0	0	2	0	1
67		Swing C	2	688	0	2	0	0	0
68	12	Hagelslag	2	683	0	0	0	0	2
69		Swing B	1	154	1
70		Legendary Lads	0	0
70		MDX A	0	0
70		IGNORE ME	0	0