Place	Novice	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5	#6
1		Harvard BD	16	986	3	3	3	1	3	3
1		Stanford EL	16	986	3	3	3	2	3	2
3		Bates SGD	15	986	3	3	2	3	1	3
4		George Washington BW	14	967	3	2	2	3	1	3
5		Swarthmore MP	14	957	3	3	2	2	3	1
6		Tufts CS	14	945	2	3	3	3	0	3
7		Brown GS	14	939	0	2	3	3	3	3
8	1	Cornell RL	14	934	3	3	1	2	3	2
9		Hawaii DH	13	965	3	3	1	2	1	3
10		Brown SQ	13	961	2	3	2	2	3	1
11		Alaska EE	13	958	1	3	3	2	2	2
12		American MO	13	953	2	3	1	1	3	3
12		Brown CT	13	953	3	2	1	2	3	2
14		Columbia TS	13	952	3	2	3	3	2	0
14		Harvard HB	13	952	2	3	3	2	0	3
16		George Washington SV	13	949	3	3	2	1	2	2
17		Cornell BB	13	945	3	1	2	2	2	3
18		Hopkins YZ	13	940	3	0	1	3	3	3
19		Bates HL	13	934	2	3	2	3	2	1
19		McGill WA	13	934	2	1	3	3	2	2
21	2	Harvard HW	12	971	3	3	0	3	3	0
22		Tufts SL	12	962	2	3	3	0	3	1
23		Stanford AS	12	952	3	2	1	3	0	3
24		Hart House GL	12	948	3	2	1	3	0	3
25		Vermont HT	12	944	3	3	0	3	2	1
26		Harvard CZ	12	941	3	3	0	3	0	3
27		Columbia/Boston IP	12	935	2	2	3	3	0	2
28		Vermont OS	12	934	3	2	2	1	2	2
29		Stanford GL	12	932	3	2	0	3	3	1
30		Bates HM	12	927	2	3	0	2	2	3
31		McGill HA	12	926	1	3	3	0	3	2
32		Swarthmore HJ	12	923	1	2	3	0	3	3
33		Fordham KB	12	899	2	1	2	1	3	3
34		Alaska OS	11	946	3	1	3	3	1	0
35		Penn JT	11	938	2	2	2	2	1	2
36	3	Amherst/Penn JL	11	936	2	3	0	1	2	3
36		Vermont GT	11	936	3	0	3	1	3	1
38		Cornell SJ	11	933	0	3	3	3	1	1
38		Stanford KW	11	933	1	3	2	1	3	1
40		Rochester KP	11	932	2	2	3	1	0	3
41		Carleton GA	11	931	1	3	3	0	3	1
42	4	Stanford LW	11	930	3	0	0	3	3	2
43		Northeastern SZ	11	929	3	1	2	1	1	3
44		Duke FM	11	928	0	3	2	3	0	3
45		Queen's DP	11	926	0	3	3	1	2	2
46		HWS MN	11	925	2	2	2	1	1	3
47	5	Stanford CK	11	920	2	1	2	3	3	0
48		Swarthmore DH	11	917	2	3	3	0	1	2
49		Clemson SS	11	915	0	3	3	2	3	0
50		Harvard CY	11	911	2	2	3	0	2	2
51		Cornell LB	11	909	2	1	3	0	3	2
52	6	Stanford AF	11	907	1	2	3	0	2	3
53		Bates DS	10	936	3	1	0	3	2	1
53		Denver MF	10	936	3	1	2	2	2	0
55		Rochester FM	10	935	3	2	1	2	2	0
55	7	Princeton WA	10	935	3	2	3	1	1	0
57		Berkeley WS	10	930	3	0	2	3	0	2
58	8	Harvard AP	10	926	1	1	2	2	2	2
59		Bates WM	10	925	3	2	0	2	0	3
60		McGill XK	10	924	1	3	1	3	2	0
61		King's CL	10	922	2	2	2	0	1	3
62		McGill BS	10	920	2	2	0	1	3	2
63		Swarthmore SW	10	919	2	3	2	1	1	1
64	9	Vassar LP	10	917	3	0	2	0	3	2
65		Clemson KS	10	915	2	2	1	1	3	1
65		Denver MP	10	915	3	3	1	0	0	3
67		Columbia HC	10	914	3	0	1	3	2	1
67	10	Penn KW	10	914	2	0	3	0	2	3
69	11	Swarthmore JK	10	913	3	2	0	3	0	2
70	12	Hart House LZ	10	911	0	3	1	3	1	2
71		Princeton PH	10	908	1	2	1	2	3	1
72		USC KN	10	906	2	1	2	2	2	1
73	13	Swarthmore/CUNY AN	10	901	1	3	0	2	1	3
74	14	Stanford DG	10	899	1	1	0	3	2	3
75	15	Vermont DN	10	897	1	1	3	0	3	2
76		Fordham HM	9	931	2	1	1	3	2	0
77		Bard BC	9	927	2	2	1	1	0	3
78		Queen's DS	9	919	3	1	1	2	2	0
78	16	Columbia DE	9	919	2	1	2	3	1	0
80		Vermont VQ	9	917	2	0	3	0	1	3
81		USC LR	9	916	2	2	0	1	3	1
82		Harvard HY	9	913	2	2	1	1	1	2
83		Sodales HN	9	912	2	3	2	1	0	1
83		Berkeley AB	9	912	3	0	0	3	3	0
83		Brown DN	9	912	1	0	3	1	3	1
86		Cornell YL	9	911	1	2	3	2	1	0
87		Northeastern SS	9	909	2	1	2	2	0	2
88		Vermont SW	9	907	2	0	2	2	2	1
89		GWU AL	9	906	2	1	0	3	1	2
90		USC HH	9	903	1	2	1	1	2	2
91		West Point HN	9	902	0	2	2	2	1	2
92	17	Tufts DH	9	898	1	3	1	0	1	3
93	18	Hawaii BG	9	897	1	2	3	0	2	1
94	19	Princeton ZM	9	896	1	1	2	2	3	0
95	20	Swarthmore/Brandeis CC	9	891	2	1	1	0	2	3
96		Loyola Marymount CG	9	888	1	2	1	0	2	3
97		Brown GH	8	918	3	1	1	2	0	1
98	21	Stanford LM	8	915	1	1	1	1	3	1
99		Bates SZ	8	914	1	3	0	3	0	1
100		Louisiana Tech MF	8	913	3	1	1	1	2	0
101	22	Stanford HK	8	911	0	1	3	3	1	0
102		Middlebury IIS LM	8	910	3	0	2	1	2	0
103		Brown HR	8	908	2	2	0	2	1	1
104		Duke GS	8	907	2	1	3	0	0	2
105		Northeastern OP	8	906	1	0	3	3	0	1
105		USC HA	8	906	0	2	2	0	3	1
105	23	King's CS	8	906	1	3	1	2	1	0
108		Harvard KJ	8	905	0	1	3	0	1	3
109	24	McGill LL	8	903	1	1	3	0	1	2
110		Rochester AT	8	902	3	1	3	0	1	0
111	25	Stanford MW	8	898	1	1	1	0	3	2
112		SYSU A	8	894	1	2	0	2	0	3
113		St. John GH	8	893	3	1	0	1	3	0
113		Columbia KB	8	893	3	0	1	1	3	0
113		Fordham NH	8	893	1	1	3	1	0	2
116	26	Colgate MZ	8	890	3	0	1	0	2	2
117	27	Stanford CM	8	889	1	0	1	0	3	3
118	28	Vassar DP	8	888	0	3	0	1	3	1
119	29	Stanford DM	8	881	0	0	3	2	0	3
120	30	Columbia YB	8	873	0	1	0	2	3	2
121		JHU-SAIS XG	8	863	0	0	2	1	2	3
122		Amherst CS	8	770	3	1	2	1	1
123		Colgate AF	7	904	0	3	3	0	0	1
124	31	Stanford AC	7	899	0	1	3	0	2	1
125		Fordham RMB	7	898	2	0	0	0	2	3
126	32	Duke NS	7	895	1	1	3	2	0	0
127		HWS GM	7	894	0	1	2	1	3	0
128	33	Duke EH	7	893	0	2	0	3	2	0
129		St. John MT	7	892	1	2	0	2	2	0
130		Minerva HM	7	891	0	2	1	0	3	1
131		West Point JR	7	888	1	0	0	3	3	0
132	34	Wesleyan AE	7	886	2	0	2	1	0	2
133	35	GWU KD	7	885	2	0	2	1	1	1
134		McGill KP	7	882	1	0	2	2	1	1
135	36	Middlebury/Penn SR	7	881	0	2	0	3	2	0
136		Sodales OR	7	878	0	1	0	1	3	2
137	37	Tufts BH	7	872	0	2	1	3	0	1
138	38	Duke SY	7	868	3	0	0	1	1	2
139	39	Wesleyan IW	7	865	2	0	1	0	2	2
140		West Point GH	7	855	0	1	1	1	1	3
141	40	Smith SC	7	727	1	0	1	3	2
142		Swing 1	7	603		2	2	2	1
143	41	Clemson CP	6	900	2	0	0	1	1	2
144		Fordham AA	6	898	0	3	0	0	0	3
145		Loyola Marymount DS	6	897	1	0	1	2	2	0
146		Bard RS	6	896	0	3	2	0	0	1
147		Vermont PS	6	894	2	0	1	3	0	0
148		CUNY OR	6	883	0	0	2	2	1	1
149	42	Swarthmore CS	6	878	1	2	0	3	0	0
150		St. John BN	6	877	0	1	2	2	1	0
151		Colgate BH	6	871	1	3	0	0	1	1
152	43	Brandeis HL	6	864	0	3	0	3	0	0
153		Stanford ST	6	861	0	1	2	0	1	2
154		Fordham OBG	6	853	0	0	3	1	0	2
155	44	Vassar DS	6	851	0	0	1	2	2	1
156		Swing 2	6	451		3		2	1
157		Poly Prep HS GW	5	906	2	0	2	0	1	0
158	45	Amherst GM	5	888	1	1	1	2	0	0
159	46	Hart House MY	5	879	0	2	3	0	0	0
159	46	Vassar BK	5	879	1	1	0	2	0	1
161	48	King's JK	5	856	1	0	0	3	0	1
162		Clemson HM	5	854	2	0	1	1	1	0
163	49	McGill MR	5	851	1	0	0	0	1	3
164		Middlebury MF	4	874	0	2	0	2	0	0
165	50	Bard KL	4	853	0	1	2	1	0	0
166		Louisiana Tech MM	4	849	0	0	3	0	0	1
167		St. John DS	4	838	0	0	1	1	2	0
168	51	Fordham PY	4	834	0	0	2	0	1	1
169		Mount Holyoke BB	4	831	0	0	0	1	1	2
170	52	East Carolina VG	4	727	0	2	1	1	0
171	53	Middlebury KW	4	581	0	1	0	3
172		Mount Holyoke KS	4	450	1	3	0
173	54	GWU GK	3	842	0	0	1	0	2	0
174	55	CUNY FC	3	697	3		0	0	0	0
175		Swing 3	3	139					3
176		CUNY AF	2	831	0	0	0	0	0	2
177	56	East Carolina MC	2	709	1	0	1	0	0
178	57	East Carolina GB	2	687	0	0	0	2	0
179		Stony Brook NZ	1	159	1
180		Stony Brook EO	1	147	1
181		Stony Brook CJ	1	140	1
182		Hart House MS	0	148	0
183		Stony Brook HP	0	130	0